,date,mmwr_week,location,distributed,distributed_janssen,distributed_moderna,distributed_pfizer,distributed_unk_manuf,dist_per_100k,distributed_per_100k_12plus,distributed_per_100k_18plus,distributed_per_100k_65plus,administered,administered_12plus,administered_18plus,administered_65plus,administered_janssen,administered_moderna,administered_pfizer,administered_unk_manuf,administered_fed_ltc,administered_fed_ltc_residents,administered_fed_ltc_staff,administered_fed_ltc_unk,administered_fed_ltc_dose1,administered_fed_ltc_dose1_1,administered_fed_ltc_dose1_2,administered_fed_ltc_dose1_3,admin_per_100k,admin_per_100k_12plus,admin_per_100k_18plus,admin_per_100k_65plus,recip_administered,administered_dose1_recip,administered_dose1_pop_pct,administered_dose1_recip_1,administered_dose1_recip_2,administered_dose1_recip_3,administered_dose1_recip_4,administered_dose1_recip_5,administered_dose1_recip_6,series_complete_yes,series_complete_pop_pct,series_complete_12plus,series_complete_12pluspop,series_complete_18plus,series_complete_18pluspop,series_complete_65plus,series_complete_65pluspop,series_complete_janssen,series_complete_moderna,series_complete_pfizer,series_complete_unk_manuf,series_complete_janssen_12plus,series_complete_moderna_12plus,series_complete_pfizer_12plus,series_complete_unk_manuf_1,series_complete_janssen_18plus,series_complete_moderna_18plus,series_complete_pfizer_18plus,series_complete_unk_manuf_2,series_complete_janssen_65plus,series_complete_moderna_65plus,series_complete_pfizer_65plus,series_complete_unk_manuf_3,series_complete_fedltc,series_complete_fedltc_1,series_complete_fedltc_staff,series_complete_fedltc_unknown
12934,2021-07-01T00:00:00.000,26,VA2,6245680,522400,2988600,2734680,0,0,0,0,0,5358512,5358357,5357060,2844779,170497,2775388,2412623,4,0,0,0,0,0,0,0,0,0,0,0,0,5358512,2832520,0,2832428,0,2831597,0,1478482,0,2691269,0,2691199,0,2690717,0,1423186,0,169941,1347266,1174061,1,169934,1347246,1174018,1,169915,1347219,1173582,1,58540,786944,577701,1,0,0,0,0
12935,2021-07-01T00:00:00.000,26,NV,3079850,184300,1235320,1660230,0,99990,117471,128998,620973,2783847,2783810,2677413,767320,124184,1093566,1566084,13,73756,16630,14273,42853,49870,9116,7959,32795,90380,106179,112142,154710,2752317,1533848,49.8,1533768,58.5,1470384,61.6,406395,81.9,1295849,42.1,1295818,49.4,1255139,52.6,362603,73.1,122126,498368,675343,12,122124,498365,675317,12,122090,498292,634745,12,20934,172820,168843,6,23826,7384,6251,10191
12936,2021-07-01T00:00:00.000,26,GA,11194015,599200,4743060,5851755,0,105431,124543,137967,737927,8445684,8443897,8129527,2378292,221133,3587277,4636493,781,122663,71095,38834,12734,70214,39269,22029,8916,79546,93945,100197,156781,8451006,4613167,43.4,4611517,51.3,4414528,54.4,1229743,81.1,3893218,36.7,3892925,43.3,3773198,46.5,1077824,71.1,218228,1616894,2057632,464,218138,1616850,2057473,464,217936,1616397,1938426,439,27129,598393,452101,201,51802,31332,16524,3946
12937,2021-07-01T00:00:00.000,26,TX,31847565,1894600,12843860,17109105,0,109835,132141,147469,852855,25756467,25751390,24425918,5936777,1003789,10538240,14213564,874,470973,219213,156950,94810,269473,121643,89112,58718,88828,106847,113104,158983,25056122,13990784,48.3,13986587,58,13231085,61.3,3111551,83.3,11974642,41.3,11972248,49.7,11343136,52.5,2772130,74.2,979583,4722112,6272266,681,979387,4721168,6271012,681,927923,4473082,5941486,645,226773,1093169,1452030,158,198436,95611,66580,36245
12938,2021-07-01T00:00:00.000,26,AL,4825450,281300,2207660,2336490,0,98415,115252,126490,567809,3365396,3365083,3288407,1194914,112282,1566179,1686931,4,89442,47547,32168,9727,54389,28163,20169,6057,68637,80372,86200,140605,3461449,1962745,40,1962427,46.9,1913205,50.2,670100,78.9,1601802,32.7,1601767,38.3,1572903,41.2,578461,68.1,114868,717960,768850,124,114862,717951,768830,124,114812,717718,740249,124,30683,306947,240752,79,35459,19640,12101,3718
12939,2021-07-01T00:00:00.000,26,UT,3222920,172400,1372740,1677780,0,100529,124329,141681,880887,2856977,2856447,2679826,606752,123830,1162798,1570349,0,55357,20620,19016,15721,33249,12403,11350,9496,89115,110192,117806,165837,2832258,1566312,48.9,1565915,60.4,1463615,64.3,320871,87.7,1201088,37.5,1200944,46.3,1129024,49.6,224931,61.5,119505,456976,624605,2,119476,456957,624509,2,119242,456743,553037,2,13287,98822,112822,0,21852,8070,7604,6178
12940,2021-07-01T00:00:00.000,26,LTC,64690985,2474700,19059080,43157205,0,0,0,0,0,7891385,0,0,0,22459,2000730,5860979,7217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12941,2021-07-01T00:00:00.000,26,AS,54030,600,15600,37830,0,97021,113611,124565,572594,46780,46775,44010,4929,327,11614,34839,0,0,0,0,0,0,0,0,0,84002,98356,101464,52236,47036,25939,46.6,25935,54.5,24074,55.5,2634,27.9,21291,38.2,21290,44.8,20387,47,2388,25.3,334,5283,15674,0,334,5282,15674,0,333,5270,14784,0,16,967,1405,0,0,0,0,0
12942,2021-07-01T00:00:00.000,26,VI,78810,900,23700,54210,0,75287,88159,96660,444325,78145,78074,76019,23878,965,24100,53080,0,100,0,0,100,97,0,0,97,74651,87336,93237,134623,75503,41165,39.3,41112,46,39921,49,12727,71.8,35112,33.5,35091,39.3,34275,42,11373,64.1,952,10893,23265,2,950,10887,23252,2,948,10878,22447,2,331,4576,6464,2,3,0,0,3
12943,2021-07-01T00:00:00.000,26,HI,1946970,81700,768200,1097070,0,137510,160759,174459,725269,1680216,1675777,1592389,483669,36208,589333,960913,93762,24812,11051,12487,1274,13392,5739,6768,885,118670,138367,142687,180172,1690941,989417,69.9,985663,81.4,931001,83.4,269178,99.9,733872,51.8,732459,60.5,703015,63,224509,83.6,36665,255974,423149,18084,36634,255927,421825,18073,36524,255406,393018,18067,8165,94287,120647,1410,9637,4496,4752,389
12944,2021-07-01T00:00:00.000,26,NE,2090290,108100,828960,1153230,0,108058,129237,143334,668983,1868788,1868515,1780185,545461,68463,743027,1053789,3509,59705,26692,23089,9924,36836,16454,15062,5320,96608,115525,122070,174571,1877701,1002343,51.8,1002127,62,952423,65.3,275518,88.2,924490,47.8,924429,57.2,885634,60.7,264733,84.7,68720,354918,499824,1028,68705,354898,499799,1027,68672,354796,461166,1000,5456,130044,128553,680,22796,10187,7989,4620
12945,2021-07-01T00:00:00.000,26,SD,958865,59400,433220,466245,0,108388,129910,143638,631368,820728,820704,788831,261319,25936,359302,435477,13,12573,7709,2105,2759,7350,4583,1388,1379,92773,111191,118167,172066,824982,447680,50.6,447654,60.6,428445,64.2,138703,91.3,402310,45.5,402299,54.5,389753,58.4,130333,85.8,26097,172351,203847,15,26096,172349,203839,15,26084,172306,191348,15,3712,67208,59405,8,5274,3121,733,1420
12946,2021-07-01T00:00:00.000,26,BP2,203940,10600,85520,106470,1350,0,0,0,0,194611,194610,194610,6350,8403,80214,105994,0,0,0,0,0,0,0,0,0,0,0,0,0,194611,105686,0,105685,0,105685,0,3327,0,96257,0,96257,0,96257,0,3091,0,8356,37882,50019,0,8356,37882,50019,0,8356,37882,50019,0,107,1509,1475,0,0,0,0,0
12947,2021-07-01T00:00:00.000,26,AZ,8117300,431000,3372900,4313400,0,111521,130796,143963,620288,6768593,6767798,6451519,2116111,235582,2881286,3645442,6283,126412,61005,41386,24021,77120,34447,24255,18418,92992,109051,114419,161704,6648704,3677400,50.5,3676673,59.2,3499678,62.1,1110051,84.8,3140316,43.1,3139995,50.6,3008567,53.4,959383,73.3,227067,1275994,1635200,2055,226838,1275975,1635127,2055,226729,1275605,1504192,2041,40358,474757,443073,1195,48792,26251,16878,5663
12948,2021-07-01T00:00:00.000,26,MN,6523030,349300,2607960,3565770,0,115664,136520,150422,708731,5884070,5865258,5541606,1578047,261095,2308294,3314148,533,176613,73530,70377,32706,107654,43371,41566,22717,104334,122753,127791,171456,5915718,3218732,57.1,3207885,67.1,3034281,70,841735,91.5,2931705,52,2923973,61.2,2774627,64,791774,86,262395,1091331,1577805,174,262377,1091319,1570103,174,261917,1089325,1423220,165,44802,334860,412070,42,68400,29841,28561,9998
12949,2021-07-01T00:00:00.000,26,IA,3455235,188700,1443480,1823055,0,109514,129106,142294,624868,3039341,3039310,2905819,955457,126005,1290008,1623200,128,138642,62044,45830,30768,87445,35533,28537,23375,96332,113565,119668,172791,3035681,1623187,51.4,1623122,60.6,1550059,63.8,489224,88.5,1515827,48,1515806,56.6,1456563,60,471874,85.3,123533,625405,766799,90,123531,625399,766786,90,123474,625277,707722,90,11420,251329,209066,59,50471,26058,16933,7480
12950,2021-07-01T00:00:00.000,26,NM,2367075,138500,1034200,1194375,0,112888,132429,146026,626864,2384423,2384203,2254752,652868,82463,1047638,1250676,3646,39746,11906,12160,15680,23961,6414,6648,10899,113716,133387,139097,172897,2409056,1321330,63,1321126,73.9,1244048,76.7,353946,93.7,1145072,54.6,1145011,64.1,1086951,67.1,318960,84.5,81070,474905,588018,1079,81059,474888,587985,1079,80948,474585,530342,1076,17503,148309,152536,612,15482,5252,5320,4910
