,date,fips,mmwr_week,recip_county,recip_state,series_complete_pop_pct,series_complete_yes,series_complete_12plus,series_complete_12pluspop,series_complete_18plus,series_complete_18pluspop,series_complete_65plus,series_complete_65pluspop,completeness_pct,administered_dose1_recip,administered_dose1_pop_pct,administered_dose1_recip_12plus,administered_dose1_recip_12pluspop_pct,administered_dose1_recip_18plus,administered_dose1_recip_18pluspop_pct,administered_dose1_recip_65plus,administered_dose1_recip_65pluspop_pct,svi_ctgy,series_complete_pop_pct_svi,series_complete_12pluspop_pct_svi,series_complete_18pluspop_pct_svi,series_complete_65pluspop_pct_svi
76,2020-12-13T00:00:00.000,29175,51,Randolph County,MO,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Mod-High,,,,
77,2020-12-13T00:00:00.000,38003,51,Barnes County,ND,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Low,,,,
78,2020-12-13T00:00:00.000,55103,51,Richland County,WI,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Low-Mod,,,,
79,2020-12-13T00:00:00.000,19045,51,Clinton County,IA,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Low-Mod,,,,
80,2020-12-13T00:00:00.000,17115,51,Macon County,IL,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Mod-High,,,,
81,2020-12-13T00:00:00.000,27085,51,McLeod County,MN,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Low,,,,
82,2020-12-13T00:00:00.000,48351,51,Newton County,TX,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Mod-High,,,,
83,2020-12-13T00:00:00.000,20051,51,Ellis County,KS,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Low,,,,
84,2020-12-13T00:00:00.000,26129,51,Ogemaw County,MI,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Mod-High,,,,
85,2020-12-13T00:00:00.000,48435,51,Sutton County,TX,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Mod-High,,,,
86,2020-12-13T00:00:00.000,53073,51,Whatcom County,WA,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Low-Mod,,,,
87,2020-12-13T00:00:00.000,42095,51,Northampton County,PA,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Low-Mod,,,,
88,2020-12-13T00:00:00.000,42103,51,Pike County,PA,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Low,,,,
89,2020-12-13T00:00:00.000,27041,51,Douglas County,MN,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Low,,,,
90,2020-12-13T00:00:00.000,27095,51,Mille Lacs County,MN,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Mod-High,,,,
91,2020-12-13T00:00:00.000,17027,51,Clinton County,IL,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Low,,,,
92,2020-12-13T00:00:00.000,1005,51,Barbour County,AL,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,High,,,,
93,2020-12-13T00:00:00.000,40153,51,Woodward County,OK,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Mod-High,,,,
94,2020-12-13T00:00:00.000,17197,51,Will County,IL,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Low,,,,
95,2020-12-13T00:00:00.000,45027,51,Clarendon County,SC,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,High,,,,
96,2020-12-13T00:00:00.000,12121,51,Suwannee County,FL,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,High,,,,
97,2020-12-13T00:00:00.000,17117,51,Macoupin County,IL,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Low,,,,
98,2020-12-13T00:00:00.000,27007,51,Beltrami County,MN,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,High,,,,
99,2020-12-13T00:00:00.000,29071,51,Franklin County,MO,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,Low,,,,
