date,changecolor,cases_avg_per_100k,segmentname
2020-04-11,#AB5A68,2.461111111111111,To Republican
2020-04-12,#030D97,9.459454545454543,Stayed Democrat
2020-04-12,#11A3D6,4.5076923076923086,To Democrat
2020-04-12,#556B2F,8.11,To other
2020-04-12,#970D03,4.207689393939397,Stayed Republican
2020-04-12,#AB5A68,2.735555555555555,To Republican
2020-04-13,#030D97,9.328126888217524,Stayed Democrat
2020-04-13,#11A3D6,4.430000000000001,To Democrat
2020-04-13,#556B2F,7.59,To other
2020-04-13,#970D03,4.180353089533413,Stayed Republican
2020-04-13,#AB5A68,2.54,To Republican
2020-04-14,#030D97,8.980181268882179,Stayed Democrat
2020-04-14,#11A3D6,4.407307692307693,To Democrat
2020-04-14,#556B2F,5.58,To other
2020-04-14,#970D03,4.0441561712846354,Stayed Republican
2020-04-14,#AB5A68,2.4588888888888882,To Republican
2020-04-15,#030D97,8.726072507552875,Stayed Democrat
2020-04-15,#11A3D6,4.297884615384616,To Democrat
2020-04-15,#556B2F,4.19,To other
2020-04-15,#970D03,4.0908564231738,Stayed Republican
2020-04-15,#AB5A68,2.488888888888889,To Republican
2020-04-16,#030D97,8.61622356495468,Stayed Democrat
2020-04-16,#11A3D6,4.316153846153847,To Democrat
2020-04-16,#556B2F,3.58,To other
2020-04-16,#970D03,4.0496725440806065,Stayed Republican
2020-04-16,#AB5A68,2.2289999999999996,To Republican
2020-04-17,#030D97,8.442771084337345,Stayed Democrat
2020-04-17,#11A3D6,4.331923076923077,To Democrat
2020-04-17,#556B2F,3.66,To other
2020-04-17,#970D03,4.19676286072773,Stayed Republican
2020-04-17,#AB5A68,2.538,To Republican
2020-04-18,#030D97,8.303453453453457,Stayed Democrat
2020-04-18,#11A3D6,4.40423076923077,To Democrat
2020-04-18,#556B2F,2.88,To other
2020-04-18,#970D03,4.407952559300876,Stayed Republican
2020-04-18,#AB5A68,2.5439999999999996,To Republican
2020-04-19,#030D97,8.312462462462461,Stayed Democrat
2020-04-19,#11A3D6,4.369423076923076,To Democrat
2020-04-19,#556B2F,1.83,To other
2020-04-19,#970D03,4.856749688667495,Stayed Republican
2020-04-19,#AB5A68,2.4189999999999996,To Republican
2020-04-20,#030D97,8.470690690690688,Stayed Democrat
2020-04-20,#11A3D6,4.356538461538462,To Democrat
2020-04-20,#556B2F,1.13,To other
2020-04-20,#970D03,5.2500373599003725,Stayed Republican
2020-04-20,#AB5A68,2.5319999999999996,To Republican
2020-04-21,#030D97,8.412462462462452,Stayed Democrat
2020-04-21,#11A3D6,4.275,To Democrat
2020-04-21,#556B2F,1.66,To other
2020-04-21,#970D03,5.449442379182154,Stayed Republican
