Date,Location,Percent with one dose,state,state_po,state_fips,STATEFP,STNAME,Total population,candidatevotes,totalvotes,party_simplified,fractionalvotes,day_num
2021-04-30,CO,0.584,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,76
2021-04-29,CO,0.58,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,75
2021-04-28,CO,0.5760000000000001,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,74
2021-04-27,CO,0.5720000000000001,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,73
2021-04-26,CO,0.569,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,72
2021-04-25,CO,0.5660000000000001,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,71
2021-04-24,CO,0.556,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,70
2021-04-23,CO,0.556,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,69
2021-04-22,CO,0.551,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,68
2021-04-21,CO,0.545,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,67
2021-04-20,CO,0.54,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,66
2021-04-19,CO,0.536,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,65
2021-04-18,CO,0.53,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,64
2021-04-17,CO,0.522,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,63
2021-04-16,CO,0.516,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,62
2021-04-15,CO,0.508,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,61
2021-04-14,CO,0.5,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,60
2021-04-13,CO,0.491,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,59
2021-04-12,CO,0.48200000000000004,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,58
2021-04-11,CO,0.47200000000000003,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,57
2021-04-10,CO,0.46299999999999997,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,56
2021-04-09,CO,0.451,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,55
2021-04-08,CO,0.44299999999999995,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,54
2021-04-07,CO,0.43700000000000006,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,53
2021-04-06,CO,0.42700000000000005,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,52
2021-04-05,CO,0.40700000000000003,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,51
2021-04-04,CO,0.406,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,50
2021-04-03,CO,0.406,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,49
2021-04-02,CO,0.397,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,48
2021-04-01,CO,0.389,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,47
2021-03-31,CO,0.381,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,46
2021-03-30,CO,0.375,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,45
2021-03-29,CO,0.369,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,44
2021-03-28,CO,0.363,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,43
2021-03-27,CO,0.35200000000000004,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,42
2021-03-26,CO,0.344,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,41
2021-03-25,CO,0.335,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,40
2021-03-24,CO,0.327,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,39
2021-03-23,CO,0.322,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,38
2021-03-22,CO,0.317,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,37
2021-03-21,CO,0.313,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,36
2021-03-20,CO,0.306,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,35
2021-03-19,CO,0.293,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,34
2021-03-18,CO,0.285,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,33
2021-03-17,CO,0.28,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,32
2021-03-16,CO,0.275,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,31
2021-03-15,CO,0.273,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,30
2021-03-14,CO,0.266,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,29
2021-03-13,CO,0.266,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,28
2021-03-12,CO,0.259,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,27
2021-03-11,CO,0.252,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,26
2021-03-10,CO,0.242,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,25
2021-03-09,CO,0.23600000000000002,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,24
2021-03-08,CO,0.233,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,23
2021-03-07,CO,0.233,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,22
2021-03-06,CO,0.226,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,21
2021-03-05,CO,0.22,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,20
2021-03-04,CO,0.21600000000000003,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,19
2021-03-03,CO,0.212,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,18
2021-03-02,CO,0.20800000000000002,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,17
2021-03-01,CO,0.205,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,16
2021-02-28,CO,0.2,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,15
2021-02-27,CO,0.195,COLORADO,CO,8,8,Colorado,5807719,1804352,3279980,DEMOCRAT,0.5501106714065329,14
