state_po,county_name,county_fips,candidate,party,candidatevotes,totalvotes,UrbanRural,PctRural,Infrequent,Frequent
NE,DOUGLAS,31055,JOSEPH R BIDEN JR,DEMOCRAT,150350.0,274951.0,urban,2.170524646593568,0.255,0.745
NE,GAGE,31067,DONALD J TRUMP,REPUBLICAN,7445.0,11068.0,urban,44.399623504101115,0.26,0.74
NE,HALL,31079,DONALD J TRUMP,REPUBLICAN,16189.0,24374.0,urban,14.624532905625609,0.265,0.735
NE,JEFFERSON,31095,DONALD J TRUMP,REPUBLICAN,2616.0,3716.0,urban,48.16483370875845,0.311,0.69
NE,KEITH,31101,DONALD J TRUMP,REPUBLICAN,3544.0,4364.0,urban,47.13193116634799,0.373,0.628
NE,LANCASTER,31109,JOSEPH R BIDEN JR,DEMOCRAT,82293.0,156091.0,urban,8.253126237268182,0.266,0.734
NE,LINCOLN,31111,DONALD J TRUMP,REPUBLICAN,13071.0,17107.0,urban,30.519731040564373,0.371,0.628
NE,MADISON,31119,DONALD J TRUMP,REPUBLICAN,11940.0,15765.0,urban,27.90457621286845,0.527,0.473
NE,PHELPS,31137,DONALD J TRUMP,REPUBLICAN,4157.0,5009.0,urban,41.880713974749675,0.301,0.6990000000000001
NE,PLATTE,31141,DONALD J TRUMP,REPUBLICAN,12186.0,15673.0,urban,31.42662158389428,0.314,0.6859999999999999
NE,RED WILLOW,31145,DONALD J TRUMP,REPUBLICAN,4525.0,5452.0,urban,31.58751696065129,0.394,0.606
NE,SARPY,31153,DONALD J TRUMP,REPUBLICAN,51979.0,95673.0,urban,5.273860488541929,0.307,0.6930000000000001
NE,SCOTTS BLUFF,31157,DONALD J TRUMP,REPUBLICAN,10952.0,15469.0,urban,29.818771977278875,0.501,0.5
NE,WAYNE,31179,DONALD J TRUMP,REPUBLICAN,3055.0,4200.0,urban,42.08441896821261,0.52,0.481
NE,YORK,31185,DONALD J TRUMP,REPUBLICAN,5337.0,7143.0,urban,44.141968532747896,0.634,0.366
OH,ALLEN,39003,DONALD J TRUMP,REPUBLICAN,33116.0,48006.0,urban,25.89085026944165,0.303,0.696
