date,changecolor,cases_avg_per_100k,segmentname
2020-04-14,#11A3D6,4.113770491803279,To Democrat
2020-04-14,#556B2F,3.2953846153846156,To other
2020-04-14,#970D03,3.688509840674786,Stayed Republican
2020-04-14,#AB5A68,3.5500000000000007,To Republican
2020-04-15,#030D97,8.716108597285071,Stayed Democrat
2020-04-15,#11A3D6,3.983770491803279,To Democrat
2020-04-15,#556B2F,3.0738461538461532,To other
2020-04-15,#970D03,3.7445949720670355,Stayed Republican
2020-04-15,#AB5A68,3.3441666666666667,To Republican
2020-04-16,#030D97,8.642013574660629,Stayed Democrat
2020-04-16,#11A3D6,3.957868852459017,To Democrat
2020-04-16,#556B2F,2.6007692307692305,To other
2020-04-16,#970D03,3.7283001389532098,Stayed Republican
2020-04-16,#AB5A68,3.5300000000000002,To Republican
2020-04-17,#030D97,8.51839729119639,Stayed Democrat
2020-04-17,#11A3D6,4.056721311475411,To Democrat
2020-04-17,#556B2F,2.0946153846153845,To other
2020-04-17,#970D03,3.7981667434362003,Stayed Republican
2020-04-17,#AB5A68,3.823076923076923,To Republican
2020-04-18,#030D97,8.383175675675677,Stayed Democrat
2020-04-18,#11A3D6,4.177213114754099,To Democrat
2020-04-18,#556B2F,1.7469230769230772,To other
2020-04-18,#970D03,3.864429683921205,Stayed Republican
2020-04-18,#AB5A68,4.176153846153846,To Republican
2020-04-19,#030D97,8.294234234234237,Stayed Democrat
2020-04-19,#11A3D6,4.198032786885245,To Democrat
2020-04-19,#556B2F,1.7230769230769232,To other
2020-04-19,#970D03,4.08671832269826,Stayed Republican
2020-04-19,#AB5A68,4.213846153846154,To Republican
2020-04-20,#030D97,8.366463963963957,Stayed Democrat
2020-04-20,#11A3D6,4.2332786885245905,To Democrat
2020-04-20,#556B2F,1.43,To other
2020-04-20,#970D03,4.25058636363636,Stayed Republican
2020-04-20,#AB5A68,4.64923076923077,To Republican
2020-04-21,#030D97,8.329932432432422,Stayed Democrat
2020-04-21,#11A3D6,4.148524590163935,To Democrat
2020-04-21,#556B2F,1.5400000000000003,To other
2020-04-21,#970D03,4.436930737890449,Stayed Republican
2020-04-21,#AB5A68,4.954615384615384,To Republican
2020-04-22,#030D97,8.376382022471917,Stayed Democrat
2020-04-22,#11A3D6,4.485081967213116,To Democrat
2020-04-22,#556B2F,1.5638461538461539,To other
2020-04-22,#970D03,4.589147111913362,Stayed Republican
2020-04-22,#AB5A68,5.3876923076923084,To Republican
2020-04-23,#030D97,8.430560538116595,Stayed Democrat
2020-04-23,#11A3D6,4.829180327868854,To Democrat
2020-04-23,#556B2F,1.506153846153846,To other
2020-04-23,#970D03,4.945624438454623,Stayed Republican
2020-04-23,#AB5A68,5.510769230769231,To Republican
2020-04-24,#030D97,8.774596412556049,Stayed Democrat
2020-04-24,#11A3D6,5.111639344262296,To Democrat
2020-04-24,#556B2F,1.2876923076923075,To other
2020-04-24,#970D03,5.265060456784588,Stayed Republican
2020-04-24,#AB5A68,5.953846153846156,To Republican
2020-04-25,#030D97,9.348161434977587,Stayed Democrat
2020-04-25,#11A3D6,5.23672131147541,To Democrat
2020-04-25,#556B2F,0.9315384615384618,To other
2020-04-25,#970D03,5.603522321428567,Stayed Republican
2020-04-25,#AB5A68,5.729230769230769,To Republican
2020-04-26,#030D97,9.37515695067264,Stayed Democrat
2020-04-26,#11A3D6,5.392131147540985,To Democrat
2020-04-26,#556B2F,0.8184615384615385,To other
2020-04-26,#970D03,5.599286987522281,Stayed Republican
2020-04-26,#AB5A68,6.286153846153847,To Republican
2020-04-27,#030D97,9.202174887892378,Stayed Democrat
2020-04-27,#11A3D6,5.423442622950822,To Democrat
2020-04-27,#556B2F,0.8453846153846154,To other
2020-04-27,#970D03,5.644289520426286,Stayed Republican
2020-04-27,#AB5A68,6.401538461538461,To Republican
2020-04-28,#030D97,9.265334821428572,Stayed Democrat
2020-04-28,#11A3D6,5.788688524590165,To Democrat
2020-04-28,#556B2F,0.8338461538461537,To other
2020-04-28,#970D03,5.562221731448755,Stayed Republican
2020-04-28,#AB5A68,6.338461538461539,To Republican
2020-04-29,#030D97,9.400669642857135,Stayed Democrat
2020-04-29,#11A3D6,5.3249180327868855,To Democrat
2020-04-29,#556B2F,0.7461538461538461,To other
2020-04-29,#970D03,5.636684280052827,Stayed Republican
2020-04-29,#AB5A68,6.769230769230769,To Republican
2020-04-30,#030D97,9.537433035714287,Stayed Democrat
2020-04-30,#11A3D6,5.059016393442624,To Democrat
2020-04-30,#556B2F,0.696923076923077,To other
