date,changecolor,cases_avg_per_100k,segmentname
2020-04-24,#030D97,8.35090909090909,Stayed Democrat
2020-04-24,#11A3D6,6.063333333333333,To Democrat
2020-04-24,#556B2F,1.2641666666666667,To other
2020-04-24,#970D03,4.711984517945107,Stayed Republican
2020-04-24,#AB5A68,18.656666666666666,To Republican
2020-04-25,#030D97,9.55172727272727,Stayed Democrat
2020-04-25,#11A3D6,5.804444444444444,To Democrat
2020-04-25,#556B2F,0.8566666666666668,To other
2020-04-25,#970D03,4.953998599439771,Stayed Republican
2020-04-25,#AB5A68,16.81,To Republican
2020-04-26,#030D97,9.81054545454545,Stayed Democrat
2020-04-26,#11A3D6,5.6944444444444455,To Democrat
2020-04-26,#556B2F,0.7050000000000001,To other
2020-04-26,#970D03,4.927190775681337,Stayed Republican
2020-04-26,#AB5A68,19.400000000000002,To Republican
2020-04-27,#030D97,9.964181818181817,Stayed Democrat
2020-04-27,#11A3D6,4.832222222222223,To Democrat
2020-04-27,#556B2F,0.705,To other
2020-04-27,#970D03,4.967380125086858,Stayed Republican
2020-04-27,#AB5A68,19.80666666666667,To Republican
2020-04-28,#030D97,9.94855855855856,Stayed Democrat
2020-04-28,#11A3D6,5.304444444444445,To Democrat
2020-04-28,#556B2F,0.7216666666666667,To other
2020-04-28,#970D03,4.772974465148375,Stayed Republican
2020-04-28,#AB5A68,19.33,To Republican
2020-04-29,#030D97,10.4472972972973,Stayed Democrat
2020-04-29,#11A3D6,4.677777777777777,To Democrat
2020-04-29,#556B2F,0.6408333333333333,To other
2020-04-29,#970D03,4.771347079037801,Stayed Republican
2020-04-29,#AB5A68,21.080000000000002,To Republican
2020-04-30,#030D97,11.422162162162158,Stayed Democrat
2020-04-30,#11A3D6,2.8555555555555556,To Democrat
2020-04-30,#556B2F,0.5875,To other
2020-04-30,#970D03,4.545061728395057,Stayed Republican
2020-04-30,#AB5A68,19.026666666666667,To Republican
2020-05-01,#030D97,11.835765765765764,Stayed Democrat
2020-05-01,#11A3D6,2.913333333333333,To Democrat
2020-05-01,#556B2F,0.8816666666666667,To other
2020-05-01,#970D03,5.2417679180887315,Stayed Republican
2020-05-01,#AB5A68,14.786666666666667,To Republican
2020-05-02,#030D97,11.569189189189181,Stayed Democrat
2020-05-02,#11A3D6,3.0766666666666667,To Democrat
2020-05-02,#556B2F,0.7966666666666665,To other
2020-05-02,#970D03,5.506696185286104,Stayed Republican
2020-05-02,#AB5A68,15.956666666666665,To Republican
2020-05-03,#030D97,12.109999999999994,Stayed Democrat
2020-05-03,#11A3D6,4.064444444444444,To Democrat
2020-05-03,#556B2F,1.1308333333333334,To other
2020-05-03,#970D03,5.592584803256443,Stayed Republican
2020-05-03,#AB5A68,14.596666666666666,To Republican
2020-05-04,#030D97,12.156607142857139,Stayed Democrat
2020-05-04,#11A3D6,4.284444444444444,To Democrat
2020-05-04,#556B2F,1.1466666666666667,To other
2020-05-04,#970D03,5.660283975659234,Stayed Republican
2020-05-04,#AB5A68,14.086666666666666,To Republican
2020-05-05,#030D97,11.790267857142856,Stayed Democrat
2020-05-05,#11A3D6,4.118888888888889,To Democrat
2020-05-05,#556B2F,1.1333333333333335,To other
2020-05-05,#970D03,5.861800404585299,Stayed Republican
2020-05-05,#AB5A68,13.733333333333334,To Republican
2020-05-06,#030D97,12.251415929203542,Stayed Democrat
2020-05-06,#11A3D6,4.143,To Democrat
2020-05-06,#556B2F,1.2525000000000002,To other
2020-05-06,#970D03,5.75843981170142,Stayed Republican
2020-05-06,#AB5A68,11.916666666666666,To Republican
2020-05-07,#030D97,11.589298245614037,Stayed Democrat
2020-05-07,#11A3D6,4.117,To Democrat
2020-05-07,#556B2F,1.2716666666666667,To other
2020-05-07,#970D03,6.018896321070233,Stayed Republican
2020-05-07,#AB5A68,11.193333333333333,To Republican
2020-05-08,#030D97,11.347280701754386,Stayed Democrat
2020-05-08,#11A3D6,3.683,To Democrat
2020-05-08,#556B2F,1.0175,To other
2020-05-08,#970D03,5.289779853235485,Stayed Republican
2020-05-08,#AB5A68,14.086666666666666,To Republican
2020-05-09,#030D97,11.25035087719298,Stayed Democrat
2020-05-09,#11A3D6,3.846,To Democrat
2020-05-09,#556B2F,1.0408333333333333,To other
2020-05-09,#970D03,4.965303131245833,Stayed Republican
2020-05-09,#AB5A68,13.106666666666664,To Republican
2020-05-10,#030D97,11.19052631578948,Stayed Democrat
2020-05-10,#11A3D6,3.749,To Democrat
2020-05-10,#556B2F,0.7875,To other
2020-05-10,#970D03,4.79091816367265,Stayed Republican
2020-05-10,#AB5A68,12.856666666666667,To Republican
2020-05-11,#030D97,10.857807017543857,Stayed Democrat
2020-05-11,#11A3D6,3.7090000000000005,To Democrat
2020-05-11,#556B2F,0.6749999999999999,To other
2020-05-11,#970D03,4.658003992015969,Stayed Republican
2020-05-11,#AB5A68,13.709999999999999,To Republican
2020-05-12,#030D97,11.488771929824567,Stayed Democrat
2020-05-12,#11A3D6,3.598,To Democrat
